Process issue. Check mapping files and reference data 	Holdings id '003288009' not in hold id map.	row 1470037	
Process issue. Check mapping files and reference data 	Holdings id '003288009' not in hold id map.	row 1470038	
Process issue. Check mapping files and reference data 	Holdings id '003288009' not in hold id map.	row 1470039	
Process issue. Check mapping files and reference data 	Holdings id '003288009' not in hold id map.	row 1470040	
Process issue. Check mapping files and reference data 	Holdings id '003288009' not in hold id map.	row 1470041	
Process issue. Check mapping files and reference data 	Holdings id '003288009' not in hold id map.	row 1470042	
Process issue. Check mapping files and reference data 	Holdings id '003305453' not in hold id map.	row 1470361	
Process issue. Check mapping files and reference data 	Holdings id '003305453' not in hold id map.	row 1470362	
Process issue. Check mapping files and reference data 	Holdings id '003305453' not in hold id map.	row 1470363	
Process issue. Check mapping files and reference data 	Holdings id '003305453' not in hold id map.	row 1470364	
Process issue. Check mapping files and reference data 	Holdings id '003305453' not in hold id map.	row 1470365	
Process issue. Check mapping files and reference data 	Holdings id '003305453' not in hold id map.	row 1470366	
Process issue. Check mapping files and reference data 	Holdings id '003305453' not in hold id map.	row 1470367	
Process issue. Check mapping files and reference data 	Holdings id '003305453' not in hold id map.	row 1470368	
Process issue. Check mapping files and reference data 	Holdings id '003446033' not in hold id map.	row 1532503	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622706	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622707	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622708	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622709	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622710	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622711	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622712	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622713	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622714	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622715	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622716	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622717	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622718	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622719	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622720	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622721	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622722	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622723	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622724	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622725	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622726	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622727	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622728	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622729	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622730	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622731	
Process issue. Check mapping files and reference data 	Holdings id '003571642' not in hold id map.	row 1622732	
Process issue. Check mapping files and reference data 	Holdings id '003582707' not in hold id map.	row 1627839	
Process issue. Check mapping files and reference data 	Holdings id '003582707' not in hold id map.	row 1627840	
Process issue. Check mapping files and reference data 	Holdings id '003582707' not in hold id map.	row 1627841	
Process issue. Check mapping files and reference data 	Holdings id '003582707' not in hold id map.	row 1627842	
Process issue. Check mapping files and reference data 	Holdings id '003582707' not in hold id map.	row 1627843	
Process issue. Check mapping files and reference data 	Holdings id '003582707' not in hold id map.	row 1627844	
Process issue. Check mapping files and reference data 	Holdings id '003582707' not in hold id map.	row 1627845	
Process issue. Check mapping files and reference data 	Holdings id '003582707' not in hold id map.	row 1627846	
Process issue. Check mapping files and reference data 	Holdings id '003582707' not in hold id map.	row 1627847	
Process issue. Check mapping files and reference data 	Holdings id '003582707' not in hold id map.	row 1627848	
Process issue. Check mapping files and reference data 	Holdings id '003576076' not in hold id map.	row 1635963	
Process issue. Check mapping files and reference data 	Holdings id '003576076' not in hold id map.	row 1635964	
Process issue. Check mapping files and reference data 	Holdings id '003576076' not in hold id map.	row 1635965	
Process issue. Check mapping files and reference data 	Holdings id '003576076' not in hold id map.	row 1635966	
Process issue. Check mapping files and reference data 	Holdings id '003576076' not in hold id map.	row 1635967	
Process issue. Check mapping files and reference data 	Holdings id '003576076' not in hold id map.	row 1635968	
Process issue. Check mapping files and reference data 	Holdings id '003576076' not in hold id map.	row 1635969	
Process issue. Check mapping files and reference data 	Holdings id '003576076' not in hold id map.	row 1635970	
Process issue. Check mapping files and reference data 	Holdings id '003576076' not in hold id map.	row 1635971	
Process issue. Check mapping files and reference data 	Holdings id '003579819' not in hold id map.	row 1640241	
Process issue. Check mapping files and reference data 	Holdings id '003579819' not in hold id map.	row 1640242	
Process issue. Check mapping files and reference data 	Holdings id '003579819' not in hold id map.	row 1640243	
Process issue. Check mapping files and reference data 	Holdings id '003579819' not in hold id map.	row 1640244	
Process issue. Check mapping files and reference data 	Holdings id '003579819' not in hold id map.	row 1640245	
Process issue. Check mapping files and reference data 	Holdings id '003579819' not in hold id map.	row 1640246	
Process issue. Check mapping files and reference data 	Holdings id '003579819' not in hold id map.	row 1640247	
Process issue. Check mapping files and reference data 	Holdings id '003579819' not in hold id map.	row 1640248	
Process issue. Check mapping files and reference data 	Holdings id '003579819' not in hold id map.	row 1640249	
Process issue. Check mapping files and reference data 	Holdings id '003579832' not in hold id map.	row 1640267	
Process issue. Check mapping files and reference data 	Holdings id '003579832' not in hold id map.	row 1640268	
Process issue. Check mapping files and reference data 	Holdings id '003579832' not in hold id map.	row 1640269	
Process issue. Check mapping files and reference data 	Holdings id '003579832' not in hold id map.	row 1640270	
Process issue. Check mapping files and reference data 	Holdings id '003579832' not in hold id map.	row 1640271	
Process issue. Check mapping files and reference data 	Holdings id '003579832' not in hold id map.	row 1640272	
Process issue. Check mapping files and reference data 	Holdings id '003579832' not in hold id map.	row 1640273	
Process issue. Check mapping files and reference data 	Holdings id '003579832' not in hold id map.	row 1640274	
Process issue. Check mapping files and reference data 	Holdings id '003579832' not in hold id map.	row 1640275	
Process issue. Check mapping files and reference data 	Holdings id '003579832' not in hold id map.	row 1640276	
Process issue. Check mapping files and reference data 	Holdings id '003579832' not in hold id map.	row 1640277	
Process issue. Check mapping files and reference data 	Holdings id '003579832' not in hold id map.	row 1640278	
Process issue. Check mapping files and reference data 	Holdings id '003601610' not in hold id map.	row 1649957	
Process issue. Check mapping files and reference data 	Holdings id '003601610' not in hold id map.	row 1649958	
Process issue. Check mapping files and reference data 	Holdings id '003601610' not in hold id map.	row 1649959	
Process issue. Check mapping files and reference data 	Holdings id '003601610' not in hold id map.	row 1649960	
Process issue. Check mapping files and reference data 	Holdings id '003601610' not in hold id map.	row 1649961	
Process issue. Check mapping files and reference data 	Holdings id '003601610' not in hold id map.	row 1649962	
Process issue. Check mapping files and reference data 	Holdings id '003601610' not in hold id map.	row 1649963	
Process issue. Check mapping files and reference data 	Holdings id '003601610' not in hold id map.	row 1649964	
Process issue. Check mapping files and reference data 	Holdings id '003601610' not in hold id map.	row 1649965	
Process issue. Check mapping files and reference data 	Holdings id '003601610' not in hold id map.	row 1649966	
Process issue. Check mapping files and reference data 	Holdings id '003581279' not in hold id map.	row 1664922	
Process issue. Check mapping files and reference data 	Holdings id '003581279' not in hold id map.	row 1664923	
Process issue. Check mapping files and reference data 	Holdings id '003581279' not in hold id map.	row 1664924	
Process issue. Check mapping files and reference data 	Holdings id '003581279' not in hold id map.	row 1664925	
Process issue. Check mapping files and reference data 	Holdings id '003581279' not in hold id map.	row 1664926	
Process issue. Check mapping files and reference data 	Holdings id '003581279' not in hold id map.	row 1664927	
Process issue. Check mapping files and reference data 	Holdings id '003581279' not in hold id map.	row 1664928	
Process issue. Check mapping files and reference data 	Holdings id '003581279' not in hold id map.	row 1664929	
Process issue. Check mapping files and reference data 	Holdings id '003581279' not in hold id map.	row 1664930	
Process issue. Check mapping files and reference data 	Holdings id '003581279' not in hold id map.	row 1664931	
Process issue. Check mapping files and reference data 	Holdings id '003581279' not in hold id map.	row 1664932	
Process issue. Check mapping files and reference data 	Holdings id '003581279' not in hold id map.	row 1664933	
Process issue. Check mapping files and reference data 	Holdings id '003581279' not in hold id map.	row 1664934	
Process issue. Check mapping files and reference data 	Holdings id '003581279' not in hold id map.	row 1664935	
Process issue. Check mapping files and reference data 	Holdings id '003581279' not in hold id map.	row 1664936	
Process issue. Check mapping files and reference data 	Holdings id '003581279' not in hold id map.	row 1664937	
Process issue. Check mapping files and reference data 	Holdings id '003581279' not in hold id map.	row 1664938	
Process issue. Check mapping files and reference data 	Holdings id '003581279' not in hold id map.	row 1664939	
Process issue. Check mapping files and reference data 	Holdings id '003581279' not in hold id map.	row 1664940	
Process issue. Check mapping files and reference data 	Holdings id '003581279' not in hold id map.	row 1664941	
Process issue. Check mapping files and reference data 	Holdings id '003581279' not in hold id map.	row 1664942	
Process issue. Check mapping files and reference data 	Holdings id '003581279' not in hold id map.	row 1664943	
Process issue. Check mapping files and reference data 	Holdings id '003574077' not in hold id map.	row 1672457	
Process issue. Check mapping files and reference data 	Holdings id '003574077' not in hold id map.	row 1672458	
Process issue. Check mapping files and reference data 	Holdings id '003574077' not in hold id map.	row 1672459	
Process issue. Check mapping files and reference data 	Holdings id '003574077' not in hold id map.	row 1672460	
Process issue. Check mapping files and reference data 	Holdings id '003574077' not in hold id map.	row 1672461	
Process issue. Check mapping files and reference data 	Holdings id '003574077' not in hold id map.	row 1672462	
Process issue. Check mapping files and reference data 	Holdings id '003574077' not in hold id map.	row 1672463	
Process issue. Check mapping files and reference data 	Holdings id '003574077' not in hold id map.	row 1672464	
Process issue. Check mapping files and reference data 	Holdings id '003574077' not in hold id map.	row 1672465	
Process issue. Check mapping files and reference data 	Holdings id '003574077' not in hold id map.	row 1672466	
Process issue. Check mapping files and reference data 	Holdings id '003574077' not in hold id map.	row 1672467	
Process issue. Check mapping files and reference data 	Holdings id '003574099' not in hold id map.	row 1672620	
Process issue. Check mapping files and reference data 	Holdings id '003574099' not in hold id map.	row 1672621	
Process issue. Check mapping files and reference data 	Holdings id '003574099' not in hold id map.	row 1672622	
Process issue. Check mapping files and reference data 	Holdings id '003574099' not in hold id map.	row 1672623	
